sample_index,day,disintegration,max_L,t0,k0
0,0,7.605873858071199e-09,5.0858135,149.26643,0.13613777395345864
0,1,8.715112595065309e-09,5.0858135,149.26643,0.13613777395345864
0,2,9.986122431106332e-09,5.0858135,149.26643,0.13613777395345864
0,3,1.1442496022584491e-08,5.0858135,149.26643,0.13613777395345864
0,4,1.3111266772931801e-08,5.0858135,149.26643,0.13613777395345864
0,5,1.502341063029108e-08,5.0858135,149.26643,0.13613777395345864
0,6,1.721442106722522e-08,5.0858135,149.26643,0.13613777395345864
0,7,1.972496791531608e-08,5.0858135,149.26643,0.13613777395345864
0,8,2.2601652284026053e-08,5.0858135,149.26643,0.13613777395345864
0,9,2.58978715767252e-08,5.0858135,149.26643,0.13613777395345864
0,10,2.9674810660421562e-08,5.0858135,149.26643,0.13613777395345864
0,11,3.400257758741436e-08,5.0858135,149.26643,0.13613777395345864
0,12,3.896150495028044e-08,5.0858135,149.26643,0.13613777395345864
0,13,4.4643641026106813e-08,5.0858135,149.26643,0.13613777395345864
0,14,5.115445838877398e-08,5.0858135,149.26643,0.13613777395345864
0,15,5.861481170476222e-08,5.0858135,149.26643,0.13613777395345864
0,16,6.716318105331974e-08,5.0858135,149.26643,0.13613777395345864
0,17,7.69582424117681e-08,5.0858135,149.26643,0.13613777395345864
0,18,8.818181301959313e-08,5.0858135,149.26643,0.13613777395345864
0,19,1.0104222629349916e-07,5.0858135,149.26643,0.13613777395345864
0,20,1.1577819893897057e-07,5.0858135,149.26643,0.13613777395345864
0,21,1.3266326204007988e-07,5.0858135,149.26643,0.13613777395345864
0,22,1.5201083837787566e-07,5.0858135,149.26643,0.13613777395345864
0,23,1.7418006022302803e-07,5.0858135,149.26643,0.13613777395345864
0,24,1.9958243559313457e-07,5.0858135,149.26643,0.13613777395345864
0,25,2.28689486714311e-07,5.0858135,149.26643,0.13613777395345864
0,26,2.6204150247278407e-07,5.0858135,149.26643,0.13613777395345864
0,27,3.0025756732010495e-07,5.0858135,149.26643,0.13613777395345864
0,28,3.4404705278910147e-07,5.0858135,149.26643,0.13613777395345864
0,29,3.942227849266451e-07,5.0858135,149.26643,0.13613777395345864
0,30,4.517161320575979e-07,5.0858135,149.26643,0.13613777395345864
0,31,5.175942929393056e-07,5.0858135,149.26643,0.13613777395345864
0,32,5.930801062094481e-07,5.0858135,149.26643,0.13613777395345864
0,33,6.795747488299e-07,5.0858135,149.26643,0.13613777395345864
0,34,7.786837448543093e-07,5.0858135,149.26643,0.13613777395345864
0,35,8.922467672924713e-07,5.0858135,149.26643,0.13613777395345864
0,36,1.022371786251031e-06,5.0858135,149.26643,0.13613777395345864
0,37,1.171474197204056e-06,5.0858135,149.26643,0.13613777395345864
0,38,1.3423216556860771e-06,5.0858135,149.26643,0.13613777395345864
0,39,1.5380854506200195e-06,5.0858135,149.26643,0.13613777395345864
0,40,1.7623993698585752e-06,5.0858135,149.26643,0.13613777395345864
0,41,2.019427150582895e-06,5.0858135,149.26643,0.13613777395345864
0,42,2.3139397665474497e-06,5.0858135,149.26643,0.13613777395345864
0,43,2.651403986741941e-06,5.0858135,149.26643,0.13613777395345864
0,44,3.0380838492486096e-06,5.0858135,149.26643,0.13613777395345864
0,45,3.4811569337881665e-06,5.0858135,149.26643,0.13613777395345864
0,46,3.988847591118309e-06,5.0858135,149.26643,0.13613777395345864
0,47,4.5705796021721885e-06,5.0858135,149.26643,0.13613777395345864
0,48,5.237151100439337e-06,5.0858135,149.26643,0.13613777395345864
0,49,6.000935004289389e-06,5.0858135,149.26643,0.13613777395345864
0,50,6.876108679385452e-06,5.0858135,149.26643,0.13613777395345864
0,51,7.878917093811137e-06,5.0858135,149.26643,0.13613777395345864
0,52,9.027974350106037e-06,5.0858135,149.26643,0.13613777395345864
0,53,1.0344609190597608e-05,5.0858135,149.26643,0.13613777395345864
0,54,1.185326088843881e-05,5.0858135,149.26643,0.13613777395345864
0,55,1.3581932871743999e-05,5.0858135,149.26643,0.13613777395345864
0,56,1.556271249949214e-05,5.0858135,149.26643,0.13613777395345864
0,57,1.783236663529491e-05,5.0858135,149.26643,0.13613777395345864
0,58,2.0433024071455816e-05,5.0858135,149.26643,0.13613777395345864
0,59,2.3412957467029335e-05,5.0858135,149.26643,0.13613777395345864
0,60,2.6827479309673774e-05,5.0858135,149.26643,0.13613777395345864
0,61,3.073996852616371e-05,5.0858135,149.26643,0.13613777395345864
0,62,3.522304678963635e-05,5.0858135,149.26643,0.13613777395345864
0,63,4.03599263478306e-05,5.0858135,149.26643,0.13613777395345864
0,64,4.624595437708474e-05,5.0858135,149.26643,0.13613777395345864
0,65,5.299038251047373e-05,5.0858135,149.26643,0.13613777395345864
0,66,6.0718394362510675e-05,5.0858135,149.26643,0.13613777395345864
0,67,6.957342865435624e-05,5.0858135,149.26643,0.13613777395345864
0,68,7.971984102067822e-05,5.0858135,149.26643,0.13613777395345864
0,69,9.134595385312588e-05,5.0858135,149.26643,0.13613777395345864
0,70,0.00010466755072131694,5.0858135,149.26643,0.13613777395345864
0,71,0.00011993188014241773,5.0858135,149.26643,0.13613777395345864
0,72,0.0001374222428959518,5.0858135,149.26643,0.13613777395345864
0,73,0.00015746324787418065,5.0858135,149.26643,0.13613777395345864
0,74,0.00018042683381778223,5.0858135,149.26643,0.13613777395345864
0,75,0.00020673916843730016,5.0858135,149.26643,0.13613777395345864
0,76,0.00023688855262070155,5.0858135,149.26643,0.13613777395345864
0,77,0.0002714344759706473,5.0858135,149.26643,0.13613777395345864
0,78,0.00031101799113753236,5.0858135,149.26643,0.13613777395345864
0,79,0.0003563735986987891,5.0858135,149.26643,0.13613777395345864
0,80,0.00040834286211768986,5.0858135,149.26643,0.13613777395345864
0,81,0.0004678900040924731,5.0858135,149.26643,0.13613777395345864
0,82,0.0005361197719439221,5.0858135,149.26643,0.13613777395345864
0,83,0.0006142979012282081,5.0858135,149.26643,0.13613777395345864
0,84,0.0007038745542297426,5.0858135,149.26643,0.13613777395345864
0,85,0.0008065111642105588,5.0858135,149.26643,0.13613777395345864
0,86,0.000924111178200672,5.0858135,149.26643,0.13613777395345864
0,87,0.0010588552617596628,5.0858135,149.26643,0.13613777395345864
0,88,0.0012132416097071733,5.0858135,149.26643,0.13613777395345864
0,89,0.001390132098637256,5.0858135,149.26643,0.13613777395345864
0,90,0.0015928051215832774,5.0858135,149.26643,0.13613777395345864
0,91,0.001825016064139706,5.0858135,149.26643,0.13613777395345864
0,92,0.00209106651650513,5.0858135,149.26643,0.13613777395345864
0,93,0.0023958834693024855,5.0858135,149.26643,0.13613777395345864
0,94,0.002745109914858137,5.0858135,149.26643,0.13613777395345864
0,95,0.0031452084722609955,5.0858135,149.26643,0.13613777395345864
0,96,0.0036035798765182937,5.0858135,149.26643,0.13613777395345864
0,97,0.004128698422147195,5.0858135,149.26643,0.13613777395345864
0,98,0.004730266732337412,5.0858135,149.26643,0.13613777395345864
0,99,0.005419392539126175,5.0858135,149.26643,0.13613777395345864
0,100,0.006208790510445606,5.0858135,149.26643,0.13613777395345864
0,101,0.007113012548723478,5.0858135,149.26643,0.13613777395345864
0,102,0.008148710414665453,5.0858135,149.26643,0.13613777395345864
0,103,0.009334934999733082,5.0858135,149.26643,0.13613777395345864
0,104,0.010693477081084413,5.0858135,149.26643,0.13613777395345864
0,105,0.01224925494077148,5.0858135,149.26643,0.13613777395345864
0,106,0.014030754811331982,5.0858135,149.26643,0.13613777395345864
0,107,0.016070530713132313,5.0858135,149.26643,0.13613777395345864
0,108,0.018405770860036978,5.0858135,149.26643,0.13613777395345864
0,109,0.021078938406997736,5.0858135,149.26643,0.13613777395345864
0,110,0.024138494864037987,5.0858135,149.26643,0.13613777395345864
0,111,0.027639714961122747,5.0858135,149.26643,0.13613777395345864
0,112,0.03164560205619203,5.0858135,149.26643,0.13613777395345864
0,113,0.03622791325146598,5.0858135,149.26643,0.13613777395345864
0,114,0.04146830311115381,5.0858135,149.26643,0.13613777395345864
0,115,0.04745959411308374,5.0858135,149.26643,0.13613777395345864
0,116,0.054307180531767967,5.0858135,149.26643,0.13613777395345864
0,117,0.06213057010446864,5.0858135,149.26643,0.13613777395345864
0,118,0.0710650642781687,5.0858135,149.26643,0.13613777395345864
0,119,0.08126357270786358,5.0858135,149.26643,0.13613777395345864
0,120,0.09289855053233381,5.0858135,149.26643,0.13613777395345864
0,121,0.10616403726924012,5.0858135,149.26643,0.13613777395345864
0,122,0.1212777633471578,5.0858135,149.26643,0.13613777395345864
0,123,0.13848327366794444,5.0858135,149.26643,0.13613777395345864
0,124,0.15805199648398807,5.0858135,149.26643,0.13613777395345864
0,125,0.1802851596369669,5.0858135,149.26643,0.13613777395345864
0,126,0.20551542433889405,5.0858135,149.26643,0.13613777395345864
0,127,0.2341080689891786,5.0858135,149.26643,0.13613777395345864
0,128,0.2664615123544798,5.0858135,149.26643,0.13613777395345864
0,129,0.30300691797647933,5.0858135,149.26643,0.13613777395345864
0,130,0.3442065723385346,5.0858135,149.26643,0.13613777395345864
0,131,0.39055068223721223,5.0858135,149.26643,0.13613777395345864
0,132,0.44255219827748615,5.0858135,149.26643,0.13613777395345864
0,133,0.5007392503576764,5.0858135,149.26643,0.13613777395345864
0,134,0.5656447891582983,5.0858135,149.26643,0.13613777395345864
0,135,0.6377930792872044,5.0858135,149.26643,0.13613777395345864
0,136,0.7176828007247373,5.0858135,149.26643,0.13613777395345864
0,137,0.8057667009377938,5.0858135,149.26643,0.13613777395345864
0,138,0.9024280120076851,5.0858135,149.26643,0.13613777395345864
0,139,1.0079542082489268,5.0858135,149.26643,0.13613777395345864
0,140,1.122509118656224,5.0858135,149.26643,0.13613777395345864
0,141,1.2461048936855654,5.0858135,149.26643,0.13613777395345864
0,142,1.378575802153441,5.0858135,149.26643,0.13613777395345864
0,143,1.519556222946894,5.0858135,149.26643,0.13613777395345864
0,144,1.6684654032724546,5.0858135,149.26643,0.13613777395345864
0,145,1.8245014852867345,5.0858135,149.26643,0.13613777395345864
0,146,1.9866468834295232,5.0858135,149.26643,0.13613777395345864
0,147,2.153686301329843,5.0858135,149.26643,0.13613777395345864
0,148,2.324237555722656,5.0858135,149.26643,0.13613777395345864
0,149,2.4967940500297274,5.0858135,149.26643,0.13613777395345864
0,150,2.669776403233592,5.0858135,149.26643,0.13613777395345864
0,151,2.8415896136055263,5.0858135,149.26643,0.13613777395345864
0,152,3.0106814271186075,5.0858135,149.26643,0.13613777395345864
0,153,3.1755974231685298,5.0858135,149.26643,0.13613777395345864
0,154,3.3350287563390464,5.0858135,149.26643,0.13613777395345864
0,155,3.487849419422411,5.0858135,149.26643,0.13613777395345864
0,156,3.633141145426902,5.0858135,149.26643,0.13613777395345864
0,157,3.7702054244753556,5.0858135,149.26643,0.13613777395345864
0,158,3.8985633615883586,5.0858135,149.26643,0.13613777395345864
0,159,4.017945080311332,5.0858135,149.26643,0.13613777395345864
0,160,4.128270996969338,5.0858135,149.26643,0.13613777395345864
0,161,4.229627539956715,5.0858135,149.26643,0.13613777395345864
0,162,4.322239817985015,5.0858135,149.26643,0.13613777395345864
0,163,4.406443436961892,5.0858135,149.26643,0.13613777395345864
0,164,4.482657224401769,5.0858135,149.26643,0.13613777395345864
0,165,4.551358131406824,5.0858135,149.26643,0.13613777395345864
0,166,4.613059113348174,5.0858135,149.26643,0.13613777395345864
0,167,4.668290385253028,5.0858135,149.26643,0.13613777395345864
0,168,4.717584128008832,5.0858135,149.26643,0.13613777395345864
0,169,4.76146249082131,5.0858135,149.26643,0.13613777395345864
0,170,4.800428586312895,5.0858135,149.26643,0.13613777395345864
0,171,4.834960093388891,5.0858135,149.26643,0.13613777395345864
0,172,4.865505053588718,5.0858135,149.26643,0.13613777395345864
0,173,4.892479453767625,5.0858135,149.26643,0.13613777395345864
0,174,4.916266218457567,5.0858135,149.26643,0.13613777395345864
0,175,4.937215278723663,5.0858135,149.26643,0.13613777395345864
0,176,4.955644433109185,5.0858135,149.26643,0.13613777395345864
0,177,4.971840765119604,5.0858135,149.26643,0.13613777395345864
0,178,4.98606242736775,5.0858135,149.26643,0.13613777395345864
0,179,4.998540643197185,5.0858135,149.26643,0.13613777395345864
0,180,5.009481811572348,5.0858135,149.26643,0.13613777395345864
0,181,5.0190696302137505,5.0858135,149.26643,0.13613777395345864
0,182,5.027467175724501,5.0858135,149.26643,0.13613777395345864
0,183,5.034818898383779,5.0858135,149.26643,0.13613777395345864
0,184,5.041252504047153,5.0858135,149.26643,0.13613777395345864
