feature,importance
cat__Polymer Grade 3_PBS TH803S,0.00088168605
cat__Polymer Grade 3_Ecoworld,0.000849691
cat__Polymer Grade 4_Aegis PCR-H135ZP Nylon 6,0.00081997935
cat__Polymer Grade 2_Ecoworld,0.00080914167
cat__Polymer Grade 5_Capa™ 6800,0.0008079296
cat__Polymer Grade 4_ENMAT™ Y1000P,0.00078538526
cat__Polymer Grade 1_Total PPH 3270,0.0007810229
cat__Polymer Grade 4_Ingeo 4043D,0.00077856873
cat__Polymer Grade 2_Luminy® L175,0.00076249265
cat__Polymer Grade 2_Unknown,0.00074324023
cat__Polymer Grade 4_Ingeo 4032D,0.000735912
cat__Polymer Grade 2_PBS TH803S,0.0007048677
cat__Polymer Grade 3_Luminy® L175,0.00067636376
cat__Polymer Grade 1_Aegis PCR-H135ZP Nylon 6,0.00065763347
cat__Polymer Grade 3_EVAL F171B,0.0006480517
cat__Polymer Grade 5_Tunhe TH801T,0.0006418666
cat__Polymer Grade 1_ENMAT™ Y1000P,0.0006350805
cat__Polymer Grade 3_Capa™ 6500,0.00063420995
cat__Polymer Grade 4_Ecoworld,0.00058418134
cat__Polymer Grade 1_Polylactide,0.0005560088
cat__Polymer Grade 2_BioPBS™ FD92,0.00054620806
cat__Polymer Grade 1_Ecoworld,0.0005089031
cat__Polymer Grade 1_Ingeo 4032D,0.0004686366
cat__Polymer Grade 1_Capa™ 6800,0.00045727572
cat__Polymer Grade 2_Ingeo 4043D,0.00044896256
cat__Polymer Grade 2_Ingeo 4032D,0.00043802476
cat__Polymer Grade 1_Luminy® L175,0.00040675065
cat__Polymer Grade 1_Ingeo 4043D,0.00030418378
cat__Polymer Grade 5_Ecoworld,0.000303673
cat__Polymer Grade 2_EVAL F171B,0.00029919352
cat__Polymer Grade 2_Capa™ 6800,0.00023194641
cat__Polymer Grade 5_Ingeo 4032D,0.00022319162
cat__Polymer Grade 3_Capa™ 6800,6.181905e-05
num__silicon_4_coord,0.0
num__phosphonate,0.0
num__guanidine,0.0
num__thiourea,0.0
num__boron_3_coord,0.0
num__SP_N,0.0
num__sulfonyl_halide,0.0
num__imide,0.0
num__vinyl_halide,0.0
num__azide,0.0
num__thiocyanate,0.0
num__isocyanate,0.0
num__ketal,0.0
num__azo,0.0
num__thioether,0.0
num__allene,0.0
cat__Polymer Grade 5_PBS TH803S,0.0
num__aldehyde,0.0
num__thiol,0.0
num__nitro,0.0
num__primary_amine,0.0
num__tertiary_amine,0.0
num__quaternary_amine,0.0
num__imine,0.0
num__nitrile,0.0
num__quaternary_carbon,0.0
cat__Polymer Grade 5_Aegis PCR-H135ZP Nylon 6,0.0
cat__Polymer Grade 1_CX-C6,0.0
num__butyl_chain,0.0
num__acetal,0.0
num__sulfone,0.0
num__phosphate,0.0
num__SP3_Cl,0.0
num__aromatic_rings_with_n,0.0
num__thiophenes,0.0
num__cyclopentenes,0.0
num__cyclopentanes,0.0
num__cyclohexanes,0.0
num__SP3_I,0.0
num__SP3_Br,0.0
num__SP3_F,0.0
num__sulfoxide,0.0
num__SP3_B,0.0
num__SP3_Si,0.0
num__SP3_P,0.0
num__SP3_S,0.0
num__SP_C,0.0
num__SP2_B,0.0
num__SP2_S,0.0
num__aromatic_rings_with_o,0.0
num__aromatic_rings_with_n_o,0.0
num__aromatic_rings_with_s,0.0
num__aliphatic_rings_with_n,0.0
num__SP2_N,0.0
num__sulfonamide,0.0
cat__Polymer Grade 5_Polylactide,0.0
cat__Polymer Grade 5_ecoflex® F Blend C1200,0.0
num__thioamide,0.0
num__carbamate,0.0
num__urea,0.0
num__carbamide,0.0
num__acyl_halide,0.0
num__anhydride,0.0
num__carboxylic_acid,0.0
num__other_rings,0.0
num__aliphatic_rings_with_s,0.0
num__aliphatic_rings_with_n_o,0.0
num__aliphatic_rings_with_o,0.0
num__SP3D2_S,0.0
