test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,property_value,error,thickness
18,3,random_sample_1,"['PLA Ingeo 4032D', 'PHB ENMAT™ Y1000P', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.4397318553304451, PHB, ENMAT™ Y1000P, 0.060160180753664846, PHA, PHACT A1000P, 0.50010796391589",True,45.48466108368105,,50.0
19,3,random_sample_2,"['PLA Ingeo 4032D', 'PHB ENMAT™ Y1000P', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.31610998985756783, PHB, ENMAT™ Y1000P, 0.2607395502193649, PHA, PHACT A1000P, 0.42315045992306727",True,42.10831546933836,,50.0
20,3,random_sample_3,"['PLA Ingeo 4032D', 'PHB ENMAT™ Y1000P', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.35398889298772984, PHB, ENMAT™ Y1000P, 0.3148369434413033, PHA, PHACT A1000P, 0.3311741635709668",True,40.3373114530732,,50.0
21,3,equal,"['PLA Ingeo 4032D', 'PHB ENMAT™ Y1000P', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3333333333333333, PHB, ENMAT™ Y1000P, 0.3333333333333333, PHA, PHACT S1000P, 0.3333333333333333",True,42.218296889255654,,50.0
22,3,random_sample_1,"['PLA Ingeo 4032D', 'PHB ENMAT™ Y1000P', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.5627285039972107, PHB, ENMAT™ Y1000P, 0.026561965065847338, PHA, PHACT S1000P, 0.4107095309369419",True,44.21087853172923,,50.0
23,3,random_sample_2,"['PLA Ingeo 4032D', 'PHB ENMAT™ Y1000P', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.10452669518172292, PHB, ENMAT™ Y1000P, 0.5818296849295607, PHA, PHACT S1000P, 0.3136436198887164",True,37.742518402698785,,50.0
24,3,random_sample_3,"['PLA Ingeo 4032D', 'PHB ENMAT™ Y1000P', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.4462832442106574, PHB, ENMAT™ Y1000P, 0.359603780432182, PHA, PHACT S1000P, 0.1941129753571606",True,43.85117758854576,,50.0
25,3,equal,"['PLA Ingeo 4032D', 'PHB Green Planet™ PHBH', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3333333333333333, PHB, Green Planet™ PHBH, 0.3333333333333333, PHA, PHACT A1000P, 0.3333333333333333",True,40.31561285456372,,50.0
26,3,random_sample_1,"['PLA Ingeo 4032D', 'PHB Green Planet™ PHBH', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.35841414521058046, PHB, Green Planet™ PHBH, 0.19150719106542008, PHA, PHACT A1000P, 0.45007866372399946",True,43.51000974940558,,50.0
27,3,random_sample_2,"['PLA Ingeo 4032D', 'PHB Green Planet™ PHBH', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.358394421312333, PHB, Green Planet™ PHBH, 0.3929505529261501, PHA, PHACT A1000P, 0.2486550257615169",True,43.46240478551555,,50.0
