test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,property_value,error,thickness
26,2,random_sample_1,"['PLA Luminy® L175', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Luminy® L175, 0.87418855809602, PHB, BIOCYCLE® 1000, 0.1258114419039799",True,61.52,,100
27,2,random_sample_2,"['PLA Luminy® L175', 'PHB BIOCYCLE® 1000']","['PLA', 'PHB']","PLA, Luminy® L175, 0.6583538701196295, PHB, BIOCYCLE® 1000, 0.34164612988037046",True,48.24,,100
28,2,equal,"['PLA Luminy® L175', 'PHB ENMAT Y3000']","['PLA', 'PHB']","PLA, Luminy® L175, 0.5, PHB, ENMAT Y3000, 0.5",True,39.19,,100
29,2,random_sample_1,"['PLA Luminy® L175', 'PHB ENMAT Y3000']","['PLA', 'PHB']","PLA, Luminy® L175, 0.4191913789439365, PHB, ENMAT Y3000, 0.5808086210560636",True,38.41,,100
30,2,random_sample_2,"['PLA Luminy® L175', 'PHB ENMAT Y3000']","['PLA', 'PHB']","PLA, Luminy® L175, 0.9132200662872808, PHB, ENMAT Y3000, 0.0867799337127192",True,65.89,,100
31,2,equal,"['PLA Luminy® L175', 'PHB ENMAT™ Y1000P']","['PLA', 'PHB']","PLA, Luminy® L175, 0.5, PHB, ENMAT™ Y1000P, 0.5",True,42.84,,100
32,2,random_sample_1,"['PLA Luminy® L175', 'PHB ENMAT™ Y1000P']","['PLA', 'PHB']","PLA, Luminy® L175, 0.5891541687433106, PHB, ENMAT™ Y1000P, 0.41084583125668933",True,46.39,,100
33,2,random_sample_2,"['PLA Luminy® L175', 'PHB ENMAT™ Y1000P']","['PLA', 'PHB']","PLA, Luminy® L175, 0.9364817898314453, PHB, ENMAT™ Y1000P, 0.06351821016855484",True,55.28,,100
34,2,equal,"['PLA Luminy® L175', 'PHB Green Planet™ PHBH']","['PLA', 'PHB']","PLA, Luminy® L175, 0.5, PHB, Green Planet™ PHBH, 0.5",True,39.76,,100
35,2,random_sample_1,"['PLA Luminy® L175', 'PHB Green Planet™ PHBH']","['PLA', 'PHB']","PLA, Luminy® L175, 0.3996680902991936, PHB, Green Planet™ PHBH, 0.6003319097008065",True,39.07,,100
36,2,random_sample_2,"['PLA Luminy® L175', 'PHB Green Planet™ PHBH']","['PLA', 'PHB']","PLA, Luminy® L175, 0.8540344752622888, PHB, Green Planet™ PHBH, 0.14596552473771124",True,59.73,,100
37,2,equal,"['PLA Ingeo 4032D', 'PHA PHACT A1000P']","['PLA', 'PHA']","PLA, Ingeo 4032D, 0.5, PHA, PHACT A1000P, 0.5",True,45.35,,100
38,2,random_sample_1,"['PLA Ingeo 4032D', 'PHA PHACT A1000P']","['PLA', 'PHA']","PLA, Ingeo 4032D, 0.8773450494117012, PHA, PHACT A1000P, 0.1226549505882987",True,54.16,,100
39,2,random_sample_2,"['PLA Ingeo 4032D', 'PHA PHACT A1000P']","['PLA', 'PHA']","PLA, Ingeo 4032D, 0.9466559736138158, PHA, PHACT A1000P, 0.05334402638618415",True,55.49,,100
40,2,equal,"['PLA Ingeo 4032D', 'PHA PHACT S1000P']","['PLA', 'PHA']","PLA, Ingeo 4032D, 0.5, PHA, PHACT S1000P, 0.5",True,46.6,,100
41,2,random_sample_1,"['PLA Ingeo 4032D', 'PHA PHACT S1000P']","['PLA', 'PHA']","PLA, Ingeo 4032D, 0.009650723262575567, PHA, PHACT S1000P, 0.9903492767374245",True,37.9,,100
42,2,random_sample_2,"['PLA Ingeo 4032D', 'PHA PHACT S1000P']","['PLA', 'PHA']","PLA, Ingeo 4032D, 0.3374839347212009, PHA, PHACT S1000P, 0.6625160652787991",True,45.48,,100
43,2,equal,"['PLA Ingeo 4043D', 'PHA PHACT A1000P']","['PLA', 'PHA']","PLA, Ingeo 4043D, 0.5, PHA, PHACT A1000P, 0.5",True,45.29,,100
44,2,random_sample_1,"['PLA Ingeo 4043D', 'PHA PHACT A1000P']","['PLA', 'PHA']","PLA, Ingeo 4043D, 0.9275949256782093, PHA, PHACT A1000P, 0.07240507432179066",True,55.26,,100
45,2,random_sample_2,"['PLA Ingeo 4043D', 'PHA PHACT A1000P']","['PLA', 'PHA']","PLA, Ingeo 4043D, 0.17521206067134606, PHA, PHACT A1000P, 0.824787939328654",True,44.34,,100
46,2,equal,"['PLA Ingeo 4043D', 'PHA PHACT S1000P']","['PLA', 'PHA']","PLA, Ingeo 4043D, 0.5, PHA, PHACT S1000P, 0.5",True,46.05,,100
47,2,random_sample_1,"['PLA Ingeo 4043D', 'PHA PHACT S1000P']","['PLA', 'PHA']","PLA, Ingeo 4043D, 0.42281511851389403, PHA, PHACT S1000P, 0.5771848814861059",True,48.33,,100
48,2,random_sample_2,"['PLA Ingeo 4043D', 'PHA PHACT S1000P']","['PLA', 'PHA']","PLA, Ingeo 4043D, 0.6210425136575682, PHA, PHACT S1000P, 0.3789574863424318",True,50.69,,100
