ground_truth_actual,predicted_actual,ground_truth_log,predicted_log
23827.65,45242.85,10.078601950039054,10.7198
16401.35999999999,23093.844,9.705119537203318,10.047321
40353.553459999974,34509.07,10.60543473574369,10.448977
20458.931049999996,21853.262,9.926174792295203,9.9921055
13166.158530000002,16407.924,9.48540506881816,9.70552
13647.187399999992,19806.424,9.521288728099572,9.893762
29764.52298000002,23530.201,10.301072459253795,10.06604
23137.68143000002,25602.664,10.049217798234046,10.150452
12156.074050000001,10156.926,9.405584245660117,9.225911
17194.282029999988,11342.503,9.7523321674148,9.336312
8565.063437999997,11642.053,9.055446817385782,9.362379
20427.30264,26943.672,9.924627649726448,10.201504
