blend_id,blend_materials,blend_grades,blend_ratios,blend_input,thickness,ts,error,temperature,rh
3,"[np.str_('PHA'), np.str_('Bio-PE')]","['PHACT A1000P', ""I'm green STN7006""]","[0.9925584699353432, 0.007441530064656777]","PHA, PHACT A1000P, 0.9925584699353432, Bio-PE, I'm green STN7006, 0.007441530064656777",60,41.01,,38,90
3,"[np.str_('PHA'), np.str_('Bio-PE')]","['PHACT A1000P', ""I'm green STN7006""]","[0.9925584699353432, 0.007441530064656777]","PHA, PHACT A1000P, 0.9925584699353432, Bio-PE, I'm green STN7006, 0.007441530064656777",80,42.34,,38,90
3,"[np.str_('PHA'), np.str_('Bio-PE')]","['PHACT A1000P', ""I'm green STN7006""]","[0.9925584699353432, 0.007441530064656777]","PHA, PHACT A1000P, 0.9925584699353432, Bio-PE, I'm green STN7006, 0.007441530064656777",100,45.6,,38,90
3,"[np.str_('PHA'), np.str_('Bio-PE')]","['PHACT A1000P', ""I'm green STN7006""]","[0.9925584699353432, 0.007441530064656777]","PHA, PHACT A1000P, 0.9925584699353432, Bio-PE, I'm green STN7006, 0.007441530064656777",120,51.44,,38,90
3,"[np.str_('PHA'), np.str_('Bio-PE')]","['PHACT A1000P', ""I'm green STN7006""]","[0.9925584699353432, 0.007441530064656777]","PHA, PHACT A1000P, 0.9925584699353432, Bio-PE, I'm green STN7006, 0.007441530064656777",140,53.54,,38,90
3,"[np.str_('PHA'), np.str_('Bio-PE')]","['PHACT A1000P', ""I'm green STN7006""]","[0.9925584699353432, 0.007441530064656777]","PHA, PHACT A1000P, 0.9925584699353432, Bio-PE, I'm green STN7006, 0.007441530064656777",160,55.78,,38,90
3,"[np.str_('PHA'), np.str_('Bio-PE')]","['PHACT A1000P', ""I'm green STN7006""]","[0.9925584699353432, 0.007441530064656777]","PHA, PHACT A1000P, 0.9925584699353432, Bio-PE, I'm green STN7006, 0.007441530064656777",180,56.33,,38,90
3,"[np.str_('PHA'), np.str_('Bio-PE')]","['PHACT A1000P', ""I'm green STN7006""]","[0.9925584699353432, 0.007441530064656777]","PHA, PHACT A1000P, 0.9925584699353432, Bio-PE, I'm green STN7006, 0.007441530064656777",200,56.2,,38,90
4,"[np.str_('Bio-PE'), np.str_('PGA')]","[""I'm green STN7006"", 'Kuredux PGA']","[0.43092871633570157, 0.5690712836642985]","Bio-PE, I'm green STN7006, 0.43092871633570157, PGA, Kuredux PGA, 0.5690712836642985",20,45.72,,38,90
4,"[np.str_('Bio-PE'), np.str_('PGA')]","[""I'm green STN7006"", 'Kuredux PGA']","[0.43092871633570157, 0.5690712836642985]","Bio-PE, I'm green STN7006, 0.43092871633570157, PGA, Kuredux PGA, 0.5690712836642985",40,46.32,,38,90
4,"[np.str_('Bio-PE'), np.str_('PGA')]","[""I'm green STN7006"", 'Kuredux PGA']","[0.43092871633570157, 0.5690712836642985]","Bio-PE, I'm green STN7006, 0.43092871633570157, PGA, Kuredux PGA, 0.5690712836642985",60,46.84,,38,90
4,"[np.str_('Bio-PE'), np.str_('PGA')]","[""I'm green STN7006"", 'Kuredux PGA']","[0.43092871633570157, 0.5690712836642985]","Bio-PE, I'm green STN7006, 0.43092871633570157, PGA, Kuredux PGA, 0.5690712836642985",80,47.15,,38,90
4,"[np.str_('Bio-PE'), np.str_('PGA')]","[""I'm green STN7006"", 'Kuredux PGA']","[0.43092871633570157, 0.5690712836642985]","Bio-PE, I'm green STN7006, 0.43092871633570157, PGA, Kuredux PGA, 0.5690712836642985",100,47.51,,38,90
4,"[np.str_('Bio-PE'), np.str_('PGA')]","[""I'm green STN7006"", 'Kuredux PGA']","[0.43092871633570157, 0.5690712836642985]","Bio-PE, I'm green STN7006, 0.43092871633570157, PGA, Kuredux PGA, 0.5690712836642985",120,47.6,,38,90
4,"[np.str_('Bio-PE'), np.str_('PGA')]","[""I'm green STN7006"", 'Kuredux PGA']","[0.43092871633570157, 0.5690712836642985]","Bio-PE, I'm green STN7006, 0.43092871633570157, PGA, Kuredux PGA, 0.5690712836642985",140,47.64,,38,90
4,"[np.str_('Bio-PE'), np.str_('PGA')]","[""I'm green STN7006"", 'Kuredux PGA']","[0.43092871633570157, 0.5690712836642985]","Bio-PE, I'm green STN7006, 0.43092871633570157, PGA, Kuredux PGA, 0.5690712836642985",160,47.61,,38,90
4,"[np.str_('Bio-PE'), np.str_('PGA')]","[""I'm green STN7006"", 'Kuredux PGA']","[0.43092871633570157, 0.5690712836642985]","Bio-PE, I'm green STN7006, 0.43092871633570157, PGA, Kuredux PGA, 0.5690712836642985",180,48.08,,38,90
4,"[np.str_('Bio-PE'), np.str_('PGA')]","[""I'm green STN7006"", 'Kuredux PGA']","[0.43092871633570157, 0.5690712836642985]","Bio-PE, I'm green STN7006, 0.43092871633570157, PGA, Kuredux PGA, 0.5690712836642985",200,48.43,,38,90
5,"[np.str_('PBS'), np.str_('PGA')]","['BioPBS FZ91', 'Kuredux PGA']","[0.7748249310743587, 0.22517506892564135]","PBS, BioPBS FZ91, 0.7748249310743587, PGA, Kuredux PGA, 0.22517506892564135",20,40.41,,38,90
5,"[np.str_('PBS'), np.str_('PGA')]","['BioPBS FZ91', 'Kuredux PGA']","[0.7748249310743587, 0.22517506892564135]","PBS, BioPBS FZ91, 0.7748249310743587, PGA, Kuredux PGA, 0.22517506892564135",40,40.1,,38,90
5,"[np.str_('PBS'), np.str_('PGA')]","['BioPBS FZ91', 'Kuredux PGA']","[0.7748249310743587, 0.22517506892564135]","PBS, BioPBS FZ91, 0.7748249310743587, PGA, Kuredux PGA, 0.22517506892564135",60,41.5,,38,90
5,"[np.str_('PBS'), np.str_('PGA')]","['BioPBS FZ91', 'Kuredux PGA']","[0.7748249310743587, 0.22517506892564135]","PBS, BioPBS FZ91, 0.7748249310743587, PGA, Kuredux PGA, 0.22517506892564135",80,42.77,,38,90
5,"[np.str_('PBS'), np.str_('PGA')]","['BioPBS FZ91', 'Kuredux PGA']","[0.7748249310743587, 0.22517506892564135]","PBS, BioPBS FZ91, 0.7748249310743587, PGA, Kuredux PGA, 0.22517506892564135",100,45.05,,38,90
5,"[np.str_('PBS'), np.str_('PGA')]","['BioPBS FZ91', 'Kuredux PGA']","[0.7748249310743587, 0.22517506892564135]","PBS, BioPBS FZ91, 0.7748249310743587, PGA, Kuredux PGA, 0.22517506892564135",120,50.92,,38,90
5,"[np.str_('PBS'), np.str_('PGA')]","['BioPBS FZ91', 'Kuredux PGA']","[0.7748249310743587, 0.22517506892564135]","PBS, BioPBS FZ91, 0.7748249310743587, PGA, Kuredux PGA, 0.22517506892564135",140,54.55,,38,90
5,"[np.str_('PBS'), np.str_('PGA')]","['BioPBS FZ91', 'Kuredux PGA']","[0.7748249310743587, 0.22517506892564135]","PBS, BioPBS FZ91, 0.7748249310743587, PGA, Kuredux PGA, 0.22517506892564135",160,56.13,,38,90
5,"[np.str_('PBS'), np.str_('PGA')]","['BioPBS FZ91', 'Kuredux PGA']","[0.7748249310743587, 0.22517506892564135]","PBS, BioPBS FZ91, 0.7748249310743587, PGA, Kuredux PGA, 0.22517506892564135",180,56.2,,38,90
5,"[np.str_('PBS'), np.str_('PGA')]","['BioPBS FZ91', 'Kuredux PGA']","[0.7748249310743587, 0.22517506892564135]","PBS, BioPBS FZ91, 0.7748249310743587, PGA, Kuredux PGA, 0.22517506892564135",200,55.62,,38,90
6,"[np.str_('PBAT'), np.str_('PCL')]","['ecoflex® F Blend C1200', 'Capa 6500']","[0.7177569387656424, 0.28224306123435755]","PBAT, ecoflex® F Blend C1200, 0.7177569387656424, PCL, Capa 6500, 0.28224306123435755",20,29.82,,38,90
6,"[np.str_('PBAT'), np.str_('PCL')]","['ecoflex® F Blend C1200', 'Capa 6500']","[0.7177569387656424, 0.28224306123435755]","PBAT, ecoflex® F Blend C1200, 0.7177569387656424, PCL, Capa 6500, 0.28224306123435755",40,31.5,,38,90
6,"[np.str_('PBAT'), np.str_('PCL')]","['ecoflex® F Blend C1200', 'Capa 6500']","[0.7177569387656424, 0.28224306123435755]","PBAT, ecoflex® F Blend C1200, 0.7177569387656424, PCL, Capa 6500, 0.28224306123435755",60,31.22,,38,90
